architecture,style,mnemonic,syntax,binary_encoding,hex_encoding,operands,optional_operands,notes
x86-64/IA-32,CISC,MOV,"MOV r32,r/m32","8B /r","8B /r","r32,r/m32",,"Load GPR"
x86-64/IA-32,CISC,ADD,"ADD r32,r/m32","03 /r","03 /r","r32,r/m32",,"Integer add"
x86-64/IA-32,CISC,SUB,"SUB r32,r/m32","2B /r","2B /r","r32,r/m32",,"Integer subtract"
x86-64/IA-32,CISC,AND,"AND r32,r/m32","23 /r","23 /r","r32,r/m32",,"Bitwise AND"
x86-64/IA-32,CISC,OR,"OR r32,r/m32","0B /r","0B /r","r32,r/m32",,"Bitwise OR"
x86-64/IA-32,CISC,XOR,"XOR r32,r/m32","33 /r","33 /r","r32,r/m32",,"Bitwise XOR"
x86-64/IA-32,CISC,CMP,"CMP r32,r/m32","3B /r","3B /r","r32,r/m32",,"Compare"
x86-64/IA-32,CISC,TEST,"TEST r/m32,r32","85 /r","85 /r","r/m32,r32",,"Bit test"
x86-64/IA-32,CISC,JMP,"JMP rel32","E9 cd","E9 cd",rel32,rel8/rel16 forms exist,"Relative control transfer"
x86-64/IA-32,CISC,CALL,"CALL rel32","E8 cd","E8 cd",rel32,far/indirect forms exist,Call
x86-64/IA-32,CISC,RET,RET,C3,C3,none,imm16 form,Return
x86-64/IA-32,CISC,NOP,NOP,90,90,none,none,No operation
x86-64/IA-32,CISC,PUSH,"PUSH r32","50+rd","50+rd",r32,immediate/memory forms,Stack
x86-64/IA-32,CISC,POP,"POP r32","58+rd","58+rd",r32,memory form,Stack
x86-64/IA-32,CISC,INT,"INT imm8","CD ib","CD ib",imm8,INT3 short form,Software interrupt
x86-64/IA-32,CISC,HLT,HLT,F4,F4,none,none,Halt
AArch64,RISC,"ADD","ADD Xd,Xn,Xm","sf|10001011|Rm|000000|Rn|Rd","0x8B000000|(Rm<<16)|(Rn<<5)|Rd","Xd,Xn,Xm",shifted-register variants,A64
AArch64,RISC,"SUB","SUB Xd,Xn,Xm","sf|11001011|Rm|000000|Rn|Rd","0xCB000000|(Rm<<16)|(Rn<<5)|Rd","Xd,Xn,Xm",shifted-register variants,A64
AArch64,RISC,"AND","AND Xd,Xn,Xm","sf|00001010|Rm|000000|Rn|Rd","0x8A000000|(Rm<<16)|(Rn<<5)|Rd","Xd,Xn,Xm",shifted logical variants,A64
